question_id,mode,prompt,choice_a,choice_b,choice_c,choice_d,answer,explanation,wrong_choice_notes,tags,difficulty,choice_a_color_name,choice_a_color_hex,choice_a_pccs,choice_a_munsell,choice_a_color_source,choice_b_color_name,choice_b_color_hex,choice_b_pccs,choice_b_munsell,choice_b_color_source,choice_c_color_name,choice_c_color_hex,choice_c_pccs,choice_c_munsell,choice_c_color_source,choice_d_color_name,choice_d_color_hex,choice_d_pccs,choice_d_munsell,choice_d_color_source,answer_color_name,answer_color_hex,answer_pccs,answer_munsell,answer_color_source,show_color_after_answer,color_data_status
kanyou_008,flower_to_name,初夏の花をテーマにした配色で、剣状の葉をもつ花を思わせる明るい赤紫を表す和色名を使いたい。最もふさわしいものを選びなさい。,あやめ色,しょうぶ色,かきつばた色,牡丹（ぼたん）色,あやめ色,あやめ色はアヤメの花のような明るい赤紫に由来します。,しょうぶ色は花菖蒲系の青紫。かきつばた色は杜若の青紫。牡丹色は牡丹の鮮やかな赤紫。,和色名|紫系|花由来|赤紫|重点,2,あやめ色,#C27BC8,,10P 6/10,和色名,しょうぶ色,#7051AA,,2.5P 4/3.5,和色名,かきつばた色,#4C5DAB,V19,7PB 4/10,和色名,牡丹（ぼたん）色,#C24DAE,,3RP 5/14,和色名,あやめ色,#C27BC8,,10P 6/10,和色名,TRUE,complete
kanyou_009,flower_to_name,春に垂れ下がる花房を連想させる、淡く優美な紫を配色に加えたい。最もふさわしい和色名を選びなさい。,藤色,藤納戸,藤紫,ウィスタリア,藤色,藤色は藤の花の淡い紫色に由来する和色名です。,藤納戸は納戸色に藤みを帯びた灰紫。藤紫は藤色より紫みが強い。ウィスタリアは外来色名で藤に由来する鮮やかな青紫。,和色名|紫系|花由来|重点,2,藤色,#A09BD8,,10PB 6.5/6.5,和色名,藤納戸,#6869A8,,9PB 4.5/7.5,和色名,藤紫,#948BDB,,0.5P 6/9,和色名,ウィスタリア,#776ED2,,10PB 5/12,外来色名,藤色,#A09BD8,,10PB 6.5/6.5,和色名,TRUE,complete
kanyou_010,flower_to_name,外来色名から、垂れ下がる花房をつける植物の英語名に由来するあざやかな青紫を選びなさい。,ウィスタリア,バイオレット,ラベンダー,ライラック,ウィスタリア,ウィスタリアは藤の花を表す外来色名で、あざやかな青紫を指します。,バイオレットはスミレ。ラベンダーはラベンダーの花。ライラックはライラックの花。,外来色名|紫系|花由来|重点,2,ウィスタリア,#776ED2,,10PB 5/12,外来色名,バイオレット,#6D52AB,V21,2.5P 4/11,外来色名,ラベンダー,#9E8EAE,sf22,5P 6/3,外来色名,ライラック,#C2A2DA,,6P 7/6,外来色名,ウィスタリア,#776ED2,,10PB 5/12,外来色名,TRUE,complete
kanyou_011,flower_to_name,外来色名のうち、スミレの花の色に由来する鮮やかな青紫を選びなさい。,バイオレット,ウィスタリア,モーブ,オーキッド,バイオレット,バイオレットはスミレの花の色に由来する外来色名です。,ウィスタリアは藤。モーブは化学染料由来。オーキッドはランの花。,外来色名|紫系|花由来|重点,1,バイオレット,#6D52AB,V21,2.5P 4/11,外来色名,ウィスタリア,#776ED2,,10PB 5/12,外来色名,モーブ,#835FA8,V22,5P 4.5/9,外来色名,オーキッド,#C7A1D7,,7.5P 7/6,外来色名,バイオレット,#6D52AB,V21,2.5P 4/11,外来色名,TRUE,complete
kanyou_012,flower_to_name,淡い紫系の外来色名のうち、香料にも使われるシソ科植物の花を連想させる灰みの紫を選びなさい。,ラベンダー,ライラック,ヘリオトロープ,モーブ,ラベンダー,ラベンダーは植物ラベンダーの花色にちなむ紫系の外来色名です。,ライラックはリラの花。ヘリオトロープは別の花名由来。モーブは染料名として知られる紫。,外来色名|紫系|花由来|重点,2,ラベンダー,#9E8EAE,sf22,5P 6/3,外来色名,ライラック,#C2A2DA,,6P 7/6,外来色名,ヘリオトロープ,#836DC5,,2P 5/10.5,外来色名,モーブ,#835FA8,V22,5P 4.5/9,外来色名,ラベンダー,#9E8EAE,sf22,5P 6/3,外来色名,TRUE,complete
kanyou_013,flower_to_name,初夏に咲く香り高い花房にちなむ、明るい紫の外来色名を選びなさい。,ライラック,ラベンダー,パンジー,パープル,ライラック,ライラックはリラの花に由来する明るい紫系の外来色名です。,ラベンダーはラベンダーの花。パンジーはパンジーの花。パープルは基本的な紫系色名。,外来色名|紫系|花由来,2,ライラック,#C2A2DA,,6P 7/6,外来色名,ラベンダー,#9E8EAE,sf22,5P 6/3,外来色名,パンジー,#40317E,,1P 2.5/10,外来色名,パープル,#A260BF,b22,7.5P 5/12,外来色名,ライラック,#C2A2DA,,6P 7/6,外来色名,TRUE,complete
kanyou_014,flower_to_name,花弁の大きな園芸植物を思わせる、濃い紫系の外来色名を選びなさい。,パンジー,バイオレット,ライラック,オーキッド,パンジー,パンジーは三色すみれの花名に由来する紫系の外来色名です。,バイオレットはスミレ。ライラックはリラ。オーキッドは蘭。,外来色名|紫系|花由来,2,パンジー,#40317E,,1P 2.5/10,外来色名,バイオレット,#6D52AB,V21,2.5P 4/11,外来色名,ライラック,#C2A2DA,,6P 7/6,外来色名,オーキッド,#C7A1D7,,7.5P 7/6,外来色名,パンジー,#40317E,,1P 2.5/10,外来色名,TRUE,complete
kanyou_015,flower_to_name,高級感のある花をテーマにした案で、蘭の花に由来する紫系の外来色名を加えたい。最もふさわしいものを選びなさい。,オーキッド,ライラック,ヘリオトロープ,マゼンタ,オーキッド,オーキッドは蘭の花にちなむ紫系の外来色名です。,ライラックはリラ。ヘリオトロープはヘリオトロープの花。マゼンタは染料・色料系の鮮やかな赤紫。,外来色名|紫系|花由来,2,オーキッド,#C7A1D7,,7.5P 7/6,外来色名,ライラック,#C2A2DA,,6P 7/6,外来色名,ヘリオトロープ,#836DC5,,2P 5/10.5,外来色名,マゼンタ,#C949A2,V24,5RP 5/14,外来色名,オーキッド,#C7A1D7,,7.5P 7/6,外来色名,TRUE,complete
kanyou_016,plant_dye_to_name,古代からの植物染料を扱う展示で、つる性植物の根から得られる渋い赤を表す色名を選びなさい。,茜（あかね）色,蘇芳（すおう）,紅色,えんじ,茜（あかね）色,茜色はアカネの根を用いた茜染めに由来する赤です。,蘇芳はスオウの心材。紅色は紅花。えんじは燕脂由来。,和色名|植物染料|赤系|重点,2,茜（あかね）色,#A0283A,,4R 3.5/11,和色名,蘇芳（すおう）,#974B52,d2,4R 4/7,和色名,紅色,#BD1E48,,3R 4/14,和色名,えんじ,#AE3846,,4R 4/11,和色名,茜（あかね）色,#A0283A,,4R 3.5/11,和色名,TRUE,complete
kanyou_017,plant_dye_to_name,キク科植物の花から抽出した赤色染料をもとにした、伝統的な赤を選びなさい。,紅色,茜（あかね）色,蘇芳（すおう）,朱色,紅色,紅色は紅花由来の赤色染料にちなむ色名です。,茜色はアカネの根。蘇芳はスオウの心材。朱色は辰砂・硫化水銀系の顔料。,和色名|植物染料|赤系|重点,2,紅色,#BD1E48,,3R 4/14,和色名,茜（あかね）色,#A0283A,,4R 3.5/11,和色名,蘇芳（すおう）,#974B52,d2,4R 4/7,和色名,朱色,#ED514E,V3,6R 5.5/14,和色名,紅色,#BD1E48,,3R 4/14,和色名,TRUE,complete
kanyou_018,plant_dye_to_name,紅花と梔子を用いて染めた、古代の装束にも関係する鮮やかな橙系の和色名を選びなさい。,黄丹（おうに）,橙色,こうじ色,柿色,黄丹（おうに）,黄丹は紅花と梔子で染めた鮮やかな橙色に由来し、歴史的装束色としても知られます。,橙色はダイダイの果皮。こうじ色は柑子の果皮。柿色は熟した柿の実。,和色名|植物染料|黄赤系|歴史色,3,黄丹（おうに）,#EF6D3E,b4,10R 6/12,和色名,橙色,#FD7E00,,5YR 6.5/13,和色名,こうじ色,#FFA75E,b6,5.5YR 7.5/9,和色名,柿色,#E06030,,10R 5.5/12,和色名,黄丹（おうに）,#EF6D3E,b4,10R 6/12,和色名,TRUE,complete
kanyou_019,plant_dye_to_name,平安期から用いられた黄色系の植物染料にちなむ、淡い黄の和色名を選びなさい。,刈安（かりやす）色,うこん色,きはだ色,山吹色,刈安（かりやす）色,刈安色は染料植物の刈安を用いた淡黄色に由来します。,うこん色はウコンの根茎。きはだ色はキハダの樹皮。山吹色は山吹の花。,和色名|植物染料|黄系|重点,2,刈安（かりやす）色,#EED67E,,7Y 8.5/7,和色名,うこん色,#FCAC00,,2Y 7.5/12,和色名,きはだ色,#D9CB65,,9Y 8/8,和色名,山吹色,#FFA500,V7,10YR 7.5/13,和色名,刈安（かりやす）色,#EED67E,,7Y 8.5/7,和色名,TRUE,complete
kanyou_020,plant_dye_to_name,ターメリックとしても知られる根茎を原料とする、黄色系の染料名に由来する色を選びなさい。,うこん色,刈安（かりやす）色,芥子（からし）色,黄土色,うこん色,うこん色はウコンの根茎を原料とした黄色染料に由来します。,刈安色は刈安の染料。芥子色は練り辛子。黄土色は土由来。,和色名|植物染料|黄系,2,うこん色,#FCAC00,,2Y 7.5/12,和色名,刈安（かりやす）色,#EED67E,,7Y 8.5/7,和色名,芥子（からし）色,#CDA966,,3Y 7/6,和色名,黄土色,#C18A39,d6,10YR 6/7.5,和色名,うこん色,#FCAC00,,2Y 7.5/12,和色名,TRUE,complete
kanyou_021,plant_dye_to_name,ミカン科樹木の樹皮を染料に用いた、澄んだ黄緑を表す和色名を選びなさい。,きはだ色,ひわ色,萌黄（もえぎ）,若草色,きはだ色,きはだ色はキハダの樹皮に由来する黄緑系の色名です。,ひわ色は小鳥の鶸。萌黄は萌え出る木々。若草色は芽吹いた草。,和色名|植物染料|黄緑系|重点,2,きはだ色,#D9CB65,,9Y 8/8,和色名,ひわ色,#C2C05C,,1GY 7.5/8,和色名,萌黄（もえぎ）,#96AA3D,,4GY 6.5/9,和色名,若草色,#A9B735,,3GY 7/10,和色名,きはだ色,#D9CB65,,9Y 8/8,和色名,TRUE,complete
kanyou_022,plant_dye_to_name,タデ科植物で染めた濃い青を表す、代表的な和色名を選びなさい。,藍色,納戸色,露草色,はなだ色,藍色,藍色はタデ藍による藍染めに由来する濃紺色です。,納戸色は暗い青の色名。露草色はツユクサの青い汁。はなだ色は青を意味する古語に由来。,和色名|植物染料|青系,1,藍色,#2E4B71,dk18,2PB 3/5,和色名,納戸色,#166A88,,4B 4/6,和色名,露草色,#3D7CCE,,3PB 5/11,和色名,はなだ色,#3C639B,,3PB 4/7.5,和色名,藍色,#2E4B71,dk18,2PB 3/5,和色名,TRUE,complete
kanyou_023,plant_dye_to_name,藍染めのなかでも極めて濃く、「勝つ」に通じる縁起を担いで武士に好まれた色名を選びなさい。,勝色（かちいろ）,紺色,濃藍（こいあい）,鉄紺,勝色（かちいろ）,勝色は藍染めの極めて濃い青で、「勝つ色」に通じることから武士に縁起色として好まれました。,紺色は暗い青全般。濃藍は濃い藍色。鉄紺は黒みの強い紺。,和色名|植物染料|青系|歴史色,3,勝色（かちいろ）,#383C57,,7PB 2.5/3,和色名,紺色,#333C5E,,6PB 2.5/4,和色名,濃藍（こいあい）,#20324E,,2PB 2/3.5,和色名,鉄紺,#232538,,7.5PB 1.5/2,和色名,勝色（かちいろ）,#383C57,,7PB 2.5/3,和色名,TRUE,complete
kanyou_024,plant_dye_to_name,一日花から得られる青い汁を思わせ、友禅の下絵にも関係する青の和色名を選びなさい。,露草色,勿忘草（わすれなぐさ）色,浅葱（あさぎ）色,水色,露草色,露草色はツユクサの花から取れる青い染料のような鮮やかな青です。,勿忘草色はワスレナグサの花。浅葱色は浅葱の葉。水色は澄んだ水。,和色名|植物染料|青系|花由来,2,露草色,#3D7CCE,,3PB 5/11,和色名,勿忘草（わすれなぐさ）色,#92AFE4,,3PB 7/6,和色名,浅葱（あさぎ）色,#0087AA,,2.5B 5/8,和色名,水色,#A9CEEC,,6B 8/4,和色名,露草色,#3D7CCE,,3PB 5/11,和色名,TRUE,complete
kanyou_025,mineral_to_name,赤い顔料を使う和風パッケージで、辰砂・硫化水銀に由来する黄みの赤を選びなさい。,朱色,鉛丹（えんたん）色,弁柄（べんがら）色,紅緋（べにひ）,朱色,朱色は辰砂、すなわち硫化水銀から作る朱の赤色顔料に由来します。,鉛丹色は四酸化三鉛。弁柄色は酸化鉄系赤土。紅緋は緋に紅みを帯びた色。,和色名|鉱物|顔料|赤系,2,朱色,#ED514E,V3,6R 5.5/14,和色名,鉛丹（えんたん）色,#D3503C,,7.5R 5/12,和色名,弁柄（べんがら）色,#8A4031,,8R 3.5/7,和色名,紅緋（べにひ）,#EE5145,,6.8R 5.5/14,和色名,朱色,#ED514E,V3,6R 5.5/14,和色名,TRUE,complete
kanyou_026,mineral_to_name,赤土顔料をテーマに、インド・ベンガル地方に由来する酸化鉄系の赤褐色を選びなさい。,弁柄（べんがら）色,たいしゃ,れんが色,赤錆色,弁柄（べんがら）色,弁柄色はベンガル地方に由来する赤色酸化鉄顔料の赤褐色です。,たいしゃは赭土系の黄赤。れんが色は焼成した煉瓦。赤錆色は鉄錆由来。,和色名|鉱物|顔料|赤系|重点,2,弁柄（べんがら）色,#8A4031,,8R 3.5/7,和色名,たいしゃ,#BA6432,,2.5YR 5/8.5,和色名,れんが色,#974E33,,10R 4/7,和色名,赤錆色,#923A21,,9R 3.5/8.5,和色名,弁柄（べんがら）色,#8A4031,,8R 3.5/7,和色名,TRUE,complete
kanyou_027,mineral_to_name,赤色無機顔料に由来する、黄みを帯びた鮮やかな赤系の色名を選びなさい。,鉛丹（えんたん）色,朱色,赤錆色,紅樺（べにかば）色,鉛丹（えんたん）色,鉛丹色は四酸化三鉛という鉛系の赤色顔料に由来します。,朱色は硫化水銀。赤錆色は鉄錆。紅樺色は樹皮色に紅みを帯びた色。,和色名|鉱物|顔料|赤系,2,鉛丹（えんたん）色,#D3503C,,7.5R 5/12,和色名,朱色,#ED514E,V3,6R 5.5/14,和色名,赤錆色,#923A21,,9R 3.5/8.5,和色名,紅樺（べにかば）色,#A14641,,6R 4/8.5,和色名,鉛丹（えんたん）色,#D3503C,,7.5R 5/12,和色名,TRUE,complete
kanyou_028,mineral_to_name,青色の宝石・ラピスラズリにちなむ深い青の和色名を選びなさい。,るり色,群青（ぐんじょう）色,紺青（こんじょう）,コバルトブルー,るり色,るり色は瑠璃、すなわちラピスラズリに由来する深みのある青です。,群青色も青色岩絵具に関係しますが、設問の宝石名「瑠璃」が直接の手がかり。紺青は人工青色顔料。コバルトブルーは外来色名。,和色名|鉱物|青系,2,るり色,#3451A4,,6PB 3.5/11,和色名,群青（ぐんじょう）色,#414FA3,,7.5PB 3.5/11,和色名,紺青（こんじょう）,#3D496B,,5PB 3/4,和色名,コバルトブルー,#2863AB,,3PB 4/10,外来色名,るり色,#3451A4,,6PB 3.5/11,和色名,TRUE,complete
kanyou_029,mineral_to_name,日本画の青色岩絵具に由来する、濃い紫みの青を表す和色名を選びなさい。,群青（ぐんじょう）色,るり色,紺青（こんじょう）,白群（びゃくぐん）,群青（ぐんじょう）色,群青色は日本画の青色岩絵具「群青」に由来します。,るり色は瑠璃。紺青は人工青色顔料。白群は群青を白で淡くしたような色。,和色名|鉱物|青系|顔料,2,群青（ぐんじょう）色,#414FA3,,7.5PB 3.5/11,和色名,るり色,#3451A4,,6PB 3.5/11,和色名,紺青（こんじょう）,#3D496B,,5PB 3/4,和色名,白群（びゃくぐん）,#84B5CF,,3B 7/4.5,和色名,群青（ぐんじょう）色,#414FA3,,7.5PB 3.5/11,和色名,TRUE,complete
kanyou_030,mineral_to_name,銅鉱物である孔雀石の鮮やかな緑にちなみ、古代エジプトの化粧にも連想される外来色名を選びなさい。,マラカイトグリーン,エメラルドグリーン,ビリジアン,ピーコックグリーン,マラカイトグリーン,マラカイトグリーンは孔雀石、すなわちマラカイトの緑色に由来します。,エメラルドグリーンは宝石エメラルド。ビリジアンは緑色顔料名。ピーコックグリーンは孔雀の羽。,外来色名|鉱物|緑系|過去問風2022,2,マラカイトグリーン,#008047,,4G 4.5/9,外来色名,エメラルドグリーン,#4DA573,b12,4G 6/8,外来色名,ビリジアン,#156F5C,d12,8G 4/6,外来色名,ピーコックグリーン,#007F91,,7.5BG 4.5/9,外来色名,マラカイトグリーン,#008047,,4G 4.5/9,外来色名,TRUE,complete
kanyou_031,mineral_to_name,宝石のエメラルドを思わせる鮮やかな緑の外来色名を選びなさい。,エメラルドグリーン,マラカイトグリーン,コバルトグリーン,リーフグリーン,エメラルドグリーン,エメラルドグリーンは宝石エメラルドに由来する緑です。,マラカイトグリーンは孔雀石。コバルトグリーンは顔料名。リーフグリーンは葉の緑。,外来色名|鉱物|緑系,1,エメラルドグリーン,#4DA573,b12,4G 6/8,外来色名,マラカイトグリーン,#008047,,4G 4.5/9,外来色名,コバルトグリーン,#5DC288,b12,4G 7/9,外来色名,リーフグリーン,#879D4E,,5GY 6/7,外来色名,エメラルドグリーン,#4DA573,b12,4G 6/8,外来色名,TRUE,complete
kanyou_032,mineral_to_name,地平線を意味する外来語に由来する、明るくくすんだ青系の外来色名を選びなさい。,ホリゾンブルー,スカイブルー,セルリアンブルー,ナイルブルー,ホリゾンブルー,ホリゾンブルーは地平線・水平線を意味するhorizonに由来する青系の外来色名です。,スカイブルーは空。セルリアンブルーは青空・空色系の顔料名。ナイルブルーはナイル川。,外来色名|青系|自然由来,2,ホリゾンブルー,#91B2D2,,7.5B 7/4,外来色名,スカイブルー,#95C0EC,lt16,9B 7.5/5.5,外来色名,セルリアンブルー,#0B74AF,,9B 4.5/9,外来色名,ナイルブルー,#5190A4,,10BG 5.5/5,外来色名,ホリゾンブルー,#91B2D2,,7.5B 7/4,外来色名,TRUE,complete
kanyou_033,liquor_to_name,フランス東部の有名な赤ワイン産地の英語名に由来する、暗い赤紫系の外来色名を選びなさい。,バーガンディー,ボルドー,ワインレッド,マルーン,バーガンディー,バーガンディーはフランス東部ブルゴーニュ地方の赤ワインに由来します。,ボルドーはフランス南西部のワイン産地。ワインレッドは赤ワイン一般。マルーンは栗系の暗赤。,外来色名|酒|赤系|重点,3,バーガンディー,#452A35,dkg2,10RP 2/2.5,外来色名,ボルドー,#55353B,dkg2,2.5R 2.5/3,外来色名,ワインレッド,#83274E,dp24,10RP 3/9,外来色名,マルーン,#682A2B,,5R 2.5/6,外来色名,バーガンディー,#452A35,dkg2,10RP 2/2.5,外来色名,TRUE,complete
kanyou_034,liquor_to_name,フランス南西部の赤ワイン産地に由来する、深い赤系の外来色名を選びなさい。,ボルドー,バーガンディー,ワインレッド,ローズレッド,ボルドー,ボルドーはフランス南西部ボルドー地方の赤ワインに由来します。,バーガンディーはブルゴーニュ地方。ワインレッドは赤ワイン一般。ローズレッドはバラ系の赤。,外来色名|酒|赤系|重点,3,ボルドー,#55353B,dkg2,2.5R 2.5/3,外来色名,バーガンディー,#452A35,dkg2,10RP 2/2.5,外来色名,ワインレッド,#83274E,dp24,10RP 3/9,外来色名,ローズ,#D94177,,1R 5/14,外来色名,ボルドー,#55353B,dkg2,2.5R 2.5/3,外来色名,TRUE,complete
kanyou_035,liquor_to_name,酒類を扱う配色で、醸造酒を思わせる深い赤を表す外来色名を選びなさい。,ワインレッド,バーガンディー,ボルドー,カーマイン,ワインレッド,ワインレッドは赤ワインのような深い赤を表す色名です。,バーガンディーとボルドーは産地由来。カーマインはコチニール由来の深紅。,外来色名|酒|赤系,1,ワインレッド,#83274E,dp24,10RP 3/9,外来色名,バーガンディー,#452A35,dkg2,10RP 2/2.5,外来色名,ボルドー,#55353B,dkg2,2.5R 2.5/3,外来色名,カーマイン,#BE1E3E,V2,4R 4/14,外来色名,ワインレッド,#83274E,dp24,10RP 3/9,外来色名,TRUE,complete
kanyou_036,liquor_to_name,酒や薬を入れる濃い緑のガラス瓶に由来する外来色名を選びなさい。,ボトルグリーン,シャトルーズグリーン,ビリヤードグリーン,フォレストグリーン,ボトルグリーン,ボトルグリーンはワインボトルなどの濃い緑色のガラス瓶に由来します。,シャトルーズグリーンはリキュール。ビリヤードグリーンはビリヤード台。フォレストグリーンは森林。,外来色名|酒|緑系,2,ボトルグリーン,#264435,,5G 2.5/3,外来色名,シャトルーズグリーン,#BDD458,,4GY 8/10,外来色名,ビリヤードグリーン,#004840,,10G 2.5/5,外来色名,フォレストグリーン,#3E795C,,7.5G 4.5/5,外来色名,ボトルグリーン,#264435,,5G 2.5/3,外来色名,TRUE,complete
